고객ID,Recency,Frequency,Monetary,Length,총납세액,평균납세액,총구매수량,평균구매수량,총할인금액,평균할인금액,평균할인율,총배송료,평균배송료,최다구매월,당월구매횟수,고유거래일수,평균구매주기,추가구매일수,성별,고객지역,가입기간,구매카테고리수,First_category,Second_category,Third_category,used개수,not used개수,clicked개수,Used_ratio,Used_ratio_per_F,Clicked_ratio,Clicked_ratio_per_F
USER_0025,40,32,6118.93,323,569.388,12.940636363636365,57,1.78125,279.358,6.349045454545455,5.91,228.73,5.198409090909091,Nov,17,5,137,4.0,여,New Jersey,14,7,Nest,Apparel,Nest,14,8,22,0.3181818181818182,0.009943181818181818,0.5,0.015625
USER_0026,265,55,16374.5268,91,1614.6858,10.984257142857142,1494,27.163636363636364,360.369,2.4514897959183677,3.13,1290.23,8.777074829931973,Jan,31,3,149,2.0,남,California,32,10,Apparel,Nest,Stationery,47,21,79,0.3197278911564626,0.0058132343846629565,0.5374149659863946,0.00977118119975263
USER_0027,222,1,39.072,0,4.4959999999999996,1.4986666666666666,15,15.0,2.9440000000000004,0.9813333333333335,13.33,6.0,2.0,May,1,1,222,0.0,여,Chicago,32,2,Stationery,Lifestyle,None,2,0,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
USER_0028,17,14,2734.8885,112,200.0825,11.115694444444445,26,1.8571428571428572,34.034,1.8907777777777777,3.33,101.88,5.66,Dec,9,3,80,2.0,여,New Jersey,50,5,Apparel,Nest,Nest,3,5,10,0.16666666666666666,0.011904761904761904,0.5555555555555556,0.03968253968253969
USER_0029,277,11,1686.8784,1,180.7324,16.430218181818184,16,1.4545454545454546,308.154,28.014,19.09,83.12,7.556363636363637,Mar,11,2,139,1.0,여,Chicago,39,3,Nest,Apparel,Apparel,7,2,2,0.6363636363636364,0.05785123966942149,0.18181818181818182,0.01652892561983471
USER_0030,103,57,10408.0123,0,1132.2853,11.210745544554456,799,14.017543859649123,972.3929999999999,9.627653465346533,10.1,526.07,5.208613861386139,Sep,57,1,103,0.0,남,Washington DC,49,10,Apparel,Nest,Stationery,34,16,51,0.33663366336633666,0.005905853743269064,0.504950495049505,0.008858780614903595
USER_0031,13,6,1119.8333,0,105.12530000000001,17.520883333333334,10,1.6666666666666667,288.672,48.112,15.0,52.489999999999995,8.748333333333333,Dec,6,1,13,0.0,남,New York,26,3,Nest,Nest,Apparel,3,0,3,0.5,0.08333333333333333,0.5,0.08333333333333333
USER_0032,51,7,1521.0367999999999,0,124.84880000000001,10.404066666666667,26,3.7142857142857144,35.202,2.9335,5.0,51.61,4.300833333333333,Nov,7,1,51,0.0,여,California,9,6,Nest,Nest,Stationery,3,2,7,0.25,0.03571428571428571,0.5833333333333334,0.08333333333333334
USER_0033,15,70,15132.2081,332,1437.2681,11.22865703125,279,3.9857142857142858,780.06,6.09421875,6.41,567.16,4.4309375,Apr,29,11,61,10.0,여,California,11,11,Nest,Apparel,Lifestyle,40,16,72,0.3125,0.004464285714285714,0.5625,0.008035714285714285
USER_0034,62,67,12439.354,292,1245.378,9.88395238095238,508,7.582089552238806,846.504,6.718285714285715,6.19,623.15,4.94563492063492,Feb,37,3,215,2.0,여,New Jersey,2,13,Nest,Apparel,Stationery,52,18,56,0.4126984126984127,0.006159677801468846,0.4444444444444444,0.006633499170812603
USER_0035,60,27,7301.5366,240,642.8336,17.85648888888889,225,8.333333333333334,449.377,12.482694444444444,6.39,316.14,8.781666666666666,Oct,12,6,90,5.0,여,New York,17,5,Nest,Apparel,Nest,15,7,14,0.4166666666666667,0.0154320987654321,0.3888888888888889,0.01440329218106996
USER_0036,33,13,3285.7982,194,328.5582,12.168822222222222,302,23.23076923076923,299.36,11.087407407407408,7.41,100.99,3.7403703703703703,Nov,12,2,210,1.0,남,Chicago,14,8,Nest,Lifestyle,Stationery,10,4,13,0.37037037037037035,0.028490028490028487,0.48148148148148145,0.037037037037037035
USER_0037,26,2,255.7505,0,20.2335,10.11675,2,1.0,30.272999999999996,15.136499999999998,15.0,13.0,6.5,Dec,2,1,26,0.0,여,California,10,2,Nest,Nest,None,1,1,0,0.5,0.25,0.0,0.0
USER_0038,147,14,1506.6096,0,158.3536,3.7703238095238096,51,3.642857142857143,26.174000000000003,0.6231904761904763,7.14,84.0,2.0,Aug,14,1,147,0.0,남,California,22,9,Apparel,Nest,Housewares,15,4,23,0.35714285714285715,0.025510204081632654,0.5476190476190477,0.0391156462585034
USER_0039,151,13,9638.793800000001,113,807.1628000000001,17.547017391304347,757,58.23076923076923,1424.789,30.973673913043477,4.57,187.87,4.084130434782609,Aug,6,4,94,3.0,여,California,49,8,Apparel,Nest,Housewares,13,7,26,0.2826086956521739,0.021739130434782608,0.5652173913043478,0.043478260869565216
USER_0040,166,6,1115.0878,0,105.3068,7.521914285714286,27,4.5,13.599,0.9713571428571429,1.43,30.0,2.142857142857143,Jul,6,1,166,0.0,여,New York,39,5,Apparel,Nest,Lifestyle,2,2,10,0.14285714285714285,0.023809523809523808,0.7142857142857143,0.11904761904761905
USER_0041,149,35,5893.7093,0,633.3312999999999,6.4625642857142855,434,12.4,396.232,4.043183673469388,7.76,321.46999999999997,3.2803061224489793,Aug,35,1,149,0.0,남,California,44,12,Apparel,Nest,Stationery,38,17,43,0.3877551020408163,0.011078717201166181,0.4387755102040816,0.012536443148688046
USER_0042,150,6,915.6777999999999,0,103.4438,6.896253333333333,48,8.0,5.436,0.3624,5.33,36.0,2.4,Aug,6,1,150,0.0,남,California,2,7,Apparel,Stationery,Apparel,6,1,8,0.4,0.06666666666666667,0.5333333333333333,0.08888888888888889
USER_0043,123,22,2987.7554,0,290.0974,6.746451162790698,61,2.772727272727273,194.002,4.511674418604652,6.98,174.47,4.057441860465116,Aug,22,1,123,0.0,여,New York,26,10,Apparel,Nest,Lifestyle,15,6,22,0.3488372093023256,0.015856236786469344,0.5116279069767442,0.023255813953488372
USER_0044,164,5,476.86109999999996,99,44.4011,6.343014285714285,9,1.8,12.45,1.7785714285714285,11.43,30.0,4.285714285714286,Apr,2,4,90,3.0,여,California,28,5,Nest,Apparel,Stationery,4,2,1,0.5714285714285714,0.11428571428571428,0.14285714285714285,0.02857142857142857
USER_0045,140,3,91.2668,0,11.8368,2.36736,5,1.6666666666666667,4.33,0.866,12.0,18.0,3.6,Aug,3,1,140,0.0,여,Washington DC,46,1,Apparel,None,None,3,1,1,0.6,0.19999999999999998,0.2,0.06666666666666667
USER_0046,41,71,11065.4501,110,1197.7461,7.485913125000001,606,8.535211267605634,664.236,4.151475,5.5,510.71,3.1919375,Aug,67,3,87,2.0,남,Chicago,8,11,Apparel,Nest,Lifestyle,44,22,94,0.275,0.003873239436619719,0.5875,0.008274647887323945
USER_0047,15,21,5111.4411,0,442.96410000000003,14.289164516129032,117,5.571428571428571,626.973,20.224935483870965,13.55,176.64000000000001,5.698064516129032,Dec,21,1,15,0.0,여,California,23,5,Nest,Nest,Stationery,14,7,10,0.45161290322580644,0.02150537634408602,0.3225806451612903,0.015360983102918587
USER_0048,157,1,17.161500000000004,0,0.5315000000000001,0.5315000000000001,1,1.0,0.0,0.0,0.0,6.0,6.0,Jul,1,1,157,0.0,여,Chicago,36,1,Apparel,None,None,0,0,1,0.0,0.0,1.0,1.0
USER_0049,104,12,1412.1675,0,147.7365,5.094362068965517,216,18.0,223.599,7.710310344827586,9.31,94.48,3.2579310344827586,Sep,12,1,104,0.0,여,California,25,8,Apparel,Stationery,Housewares,9,1,19,0.3103448275862069,0.02586206896551724,0.6551724137931034,0.05459770114942528
USER_0050,171,4,1501.1182,0,215.6892,13.480575,95,23.75,9.710999999999999,0.6069374999999999,1.88,24.0,1.5,Jul,4,1,171,0.0,여,New York,28,3,Apparel,Nest,Apparel,3,2,11,0.1875,0.046875,0.6875,0.171875
USER_0051,131,3,494.64020000000005,0,38.2062,5.458028571428572,28,9.333333333333334,97.55600000000001,13.93657142857143,14.29,56.22,8.031428571428572,Aug,3,1,131,0.0,여,Chicago,35,5,Stationery,Stationery,Housewares,5,2,0,0.7142857142857143,0.2380952380952381,0.0,0.0
USER_0052,139,5,574.7470000000001,1,67.775,4.2359375,23,4.6,70.778,4.423625,12.5,30.0,1.875,Aug,5,2,70,1.0,여,Washington DC,20,5,Apparel,Nest,Stationery,10,1,5,0.625,0.125,0.3125,0.0625
USER_0053,107,6,1858.6462,0,290.1762,29.01762,424,70.66666666666667,105.0,10.5,3.0,36.5,3.65,Sep,6,1,107,0.0,여,Chicago,25,4,Lifestyle,Apparel,Apparel,1,1,8,0.1,0.016666666666666666,0.8,0.13333333333333333
USER_0054,34,22,4634.7214,0,411.2914,13.267464516129033,96,4.363636363636363,441.93,14.255806451612903,7.74,154.97,4.999032258064516,Nov,22,1,34,0.0,여,New York,43,6,Nest,Stationery,Nest,12,6,13,0.3870967741935484,0.01759530791788856,0.41935483870967744,0.01906158357771261
USER_0055,151,8,1460.0784,0,148.6384,11.433723076923076,86,10.75,8.64,0.6646153846153846,1.54,86.39999999999999,6.646153846153846,Aug,8,1,151,0.0,남,California,29,7,Stationery,Nest,Stationery,1,3,9,0.07692307692307693,0.009615384615384616,0.6923076923076923,0.08653846153846154
USER_0056,53,100,20305.4146,88,1720.2166,9.199019251336898,486,4.86,1195.152,6.391187165775401,5.78,756.35,4.0446524064171125,Nov,59,4,57,3.0,남,Chicago,13,11,Nest,Apparel,Stationery,54,26,107,0.2887700534759358,0.0028877005347593583,0.5721925133689839,0.005721925133689839
USER_0057,21,32,4604.024,212,478.182,7.47159375,310,9.6875,232.27800000000002,3.6293437500000003,5.94,237.94,3.7178125,Aug,13,4,111,3.0,여,Chicago,25,9,Apparel,Stationery,Nest,18,10,36,0.28125,0.0087890625,0.5625,0.017578125
USER_0058,188,9,1710.2468000000001,0,177.0068,17.70068,17,1.8888888888888888,232.2,23.22,9.0,85.17999999999999,8.517999999999999,Jun,9,1,188,0.0,남,Chicago,41,4,Nest,Apparel,Lifestyle,3,2,5,0.3,0.03333333333333333,0.5,0.05555555555555555
USER_0059,69,14,1739.2327,54,136.8667,3.5094025641025643,91,6.5,39.004000000000005,1.0001025641025643,5.13,162.67000000000002,4.171025641025642,Aug,13,3,59,2.0,여,Chicago,8,11,Apparel,Stationery,Lifestyle,10,6,23,0.2564102564102564,0.018315018315018312,0.5897435897435898,0.04212454212454213
USER_0060,136,4,317.5596,196,49.9716,5.5524000000000004,10,2.5,35.032,3.892444444444444,11.11,25.0,2.7777777777777777,Aug,2,3,176,2.0,남,New York,50,1,Apparel,None,None,5,1,3,0.5555555555555556,0.1388888888888889,0.3333333333333333,0.08333333333333333
USER_0061,20,11,3012.3410000000003,60,274.515,12.477954545454544,136,12.363636363636363,122.384,5.562909090909091,4.55,73.98,3.362727272727273,Oct,9,2,70,1.0,여,California,25,5,Nest,Lifestyle,Nest,8,2,12,0.36363636363636365,0.03305785123966942,0.5454545454545454,0.04958677685950413
USER_0062,10,71,13247.2562,310,1274.7872,8.731419178082191,519,7.309859154929577,888.1809999999999,6.0834315068493146,8.84,625.38,4.283424657534247,Dec,36,3,210,2.0,여,Washington DC,23,10,Apparel,Nest,Housewares,49,20,77,0.3356164383561644,0.004726992089523442,0.5273972602739726,0.007428130426393981
USER_0063,45,5,1585.9930000000002,0,179.693,16.335727272727272,190,38.0,251.37,22.85181818181818,12.73,57.72,5.247272727272727,Nov,5,1,45,0.0,여,California,48,7,Apparel,Stationery,Apparel,7,0,4,0.6363636363636364,0.12727272727272726,0.36363636363636365,0.07272727272727272
USER_0064,202,33,6542.3278,0,730.7408,10.906579104477613,976,29.575757575757574,409.953,6.118701492537313,9.4,289.34,4.318507462686567,Jun,33,1,202,0.0,여,New Jersey,10,7,Apparel,Nest,Stationery,21,8,38,0.31343283582089554,0.009497964721845319,0.5671641791044776,0.01718679330619629
USER_0065,56,40,5961.8512,108,565.6012000000001,7.44212105263158,116,2.9,542.73,7.141184210526316,7.89,261.48,3.440526315789474,Aug,35,4,68,3.0,여,Chicago,8,9,Apparel,Nest,Stationery,30,11,35,0.39473684210526316,0.009868421052631578,0.4605263157894737,0.011513157894736841
USER_0066,151,15,2773.7536,213,310.4376,7.391371428571428,155,10.333333333333334,93.864,2.234857142857143,4.76,195.7,4.659523809523809,Aug,10,2,288,1.0,남,Chicago,33,9,Apparel,Nest,Stationery,12,5,25,0.2857142857142857,0.019047619047619046,0.5952380952380952,0.03968253968253968
USER_0067,160,26,4335.4598,10,446.3598,6.031889189189189,212,8.153846153846153,116.98,1.5808108108108108,2.84,196.56,2.656216216216216,Jul,26,2,90,1.0,여,New Jersey,4,11,Apparel,Nest,Stationery,23,13,38,0.3108108108108108,0.011954261954261953,0.5135135135135135,0.019750519750519748
USER_0068,302,1,28.908199999999997,0,3.4181999999999997,3.4181999999999997,1,1.0,0.0,0.0,0.0,6.5,6.5,Mar,1,1,302,0.0,남,California,3,1,Apparel,None,None,0,1,0,0.0,0.0,0.0,0.0
USER_0069,59,21,4851.3150000000005,0,361.985,13.922500000000001,158,7.523809523809524,150.17,5.77576923076923,6.15,198.87,7.648846153846154,Nov,21,1,59,0.0,여,California,25,6,Nest,Nest,Stationery,8,3,15,0.3076923076923077,0.014652014652014652,0.5769230769230769,0.02747252747252747
USER_0070,92,5,780.2216999999999,0,79.1317,6.594308333333333,131,26.2,177.99,14.832500000000001,7.5,30.0,2.5,Sep,5,1,92,0.0,여,California,13,5,Lifestyle,Apparel,Stationery,3,2,7,0.25,0.05,0.5833333333333334,0.11666666666666667
USER_0071,15,8,848.0212,315,86.1302,5.742013333333333,16,2.0,78.479,5.231933333333333,16.67,56.99,3.7993333333333337,Dec,4,4,161,3.0,남,New York,39,4,Apparel,Nest,Nest,9,1,5,0.6,0.075,0.3333333333333333,0.041666666666666664
USER_0072,136,4,582.6274000000001,0,51.7094,5.7454888888888895,9,2.25,68.11200000000001,7.568000000000001,11.11,26.7,2.966666666666667,Aug,4,1,136,0.0,여,California,10,5,Housewares,Apparel,Nest,5,1,3,0.5555555555555556,0.1388888888888889,0.3333333333333333,0.08333333333333333
USER_0073,256,2,324.7242,0,29.5342,9.844733333333332,3,1.5,0.0,0.0,0.0,12.0,4.0,Apr,2,1,256,0.0,여,New York,37,2,Nest,Apparel,None,0,1,2,0.0,0.0,0.6666666666666666,0.3333333333333333
USER_0074,65,4,376.753,0,34.853,2.1783125,19,4.75,21.450000000000003,1.3406250000000002,1.88,24.0,1.5,Oct,4,1,65,0.0,여,Chicago,3,3,Apparel,Stationery,Nest,3,5,8,0.1875,0.046875,0.5,0.125
USER_0075,187,20,2758.9300000000003,76,330.094,10.002848484848485,117,5.85,185.274,5.6143636363636364,7.88,179.9,5.451515151515152,Apr,12,3,113,2.0,남,California,44,7,Apparel,Nest,Stationery,12,2,19,0.36363636363636365,0.01818181818181818,0.5757575757575758,0.02878787878787879
USER_0076,15,24,6403.34,63,561.524,9.681448275862069,186,7.75,218.294,3.763689655172414,4.31,173.23,2.9867241379310343,Oct,21,3,47,2.0,남,New Jersey,26,7,Nest,Apparel,Stationery,23,10,25,0.39655172413793105,0.016522988505747127,0.43103448275862066,0.017959770114942528
USER_0077,27,34,5547.288,88,593.801,8.862701492537314,582,17.11764705882353,421.113,6.2852686567164175,8.21,274.35,4.094776119402986,Sep,22,5,40,4.0,여,California,30,10,Apparel,Nest,Stationery,20,10,37,0.29850746268656714,0.008779631255487268,0.5522388059701493,0.01624231782265145
USER_0078,56,26,4677.7373,40,412.58930000000004,5.501190666666667,125,4.8076923076923075,304.632,4.0617600000000005,10.27,190.97,2.5462666666666665,Sep,24,2,68,1.0,여,California,13,10,Apparel,Nest,Housewares,26,13,36,0.3466666666666667,0.013333333333333334,0.48,0.01846153846153846
USER_0079,135,1,68.9322,0,10.9422,5.4711,2,2.0,8.8,4.4,10.0,6.0,3.0,Aug,1,1,135,0.0,남,New York,48,1,Apparel,None,None,1,0,1,0.5,0.5,0.5,0.5
USER_0080,51,8,2551.7349,0,223.94090000000003,13.996306250000002,77,9.625,167.106,10.444125,11.25,54.48,3.405,Nov,8,1,51,0.0,여,New Jersey,50,7,Nest,Nest,Stationery,9,2,5,0.5625,0.0703125,0.3125,0.0390625
USER_0081,188,28,4299.0012,121,418.0542,7.887815094339622,216,7.714285714285714,197.153,3.7198679245283017,8.3,195.17,3.682452830188679,Feb,17,4,107,3.0,남,New York,28,10,Nest,Stationery,Apparel,16,12,25,0.3018867924528302,0.010781671159029648,0.4716981132075472,0.016846361185983826
USER_0082,257,1,22.062199999999997,0,2.4612,1.2306,2,2.0,1.279,0.6395,5.0,6.5,3.25,Apr,1,1,257,0.0,남,Chicago,33,2,Stationery,Apparel,None,1,0,1,0.5,0.5,0.5,0.5
USER_0083,144,7,2540.8343999999997,0,285.73040000000003,31.747822222222226,255,36.42857142857143,222.366,24.707333333333334,8.89,42.0,4.666666666666667,Aug,7,1,144,0.0,남,New York,44,5,Apparel,Stationery,Nest,4,1,4,0.4444444444444444,0.06349206349206349,0.4444444444444444,0.06349206349206349
USER_0084,87,26,3046.329,42,313.975,6.156372549019609,169,6.5,207.286,4.06443137254902,7.06,208.38,4.0858823529411765,Aug,24,3,57,2.0,남,New York,21,10,Apparel,Nest,Housewares,18,7,26,0.35294117647058826,0.013574660633484163,0.5098039215686274,0.0196078431372549
USER_0085,12,16,3294.1285,344,321.8475,9.466102941176471,148,9.25,170.419,5.012323529411765,9.12,173.0,5.088235294117647,Dec,8,2,350,1.0,남,Chicago,21,8,Apparel,Nest,Stationery,16,4,14,0.47058823529411764,0.029411764705882353,0.4117647058823529,0.025735294117647058
USER_0086,90,5,801.0382,0,54.8482,10.96964,5,1.0,49.8,9.959999999999999,4.0,30.0,6.0,Oct,5,1,90,0.0,남,Chicago,14,3,Nest,Nest,Apparel,2,0,3,0.4,0.08,0.6,0.12
USER_0087,103,2,107.194,28,14.123999999999999,3.5309999999999997,17,8.5,8.639999999999999,2.1599999999999997,7.5,18.91,4.7275,Aug,1,2,79,1.0,여,Chicago,10,2,Apparel,Stationery,None,1,1,2,0.25,0.125,0.5,0.25
USER_0088,205,2,51.1194,0,6.836399999999999,3.4181999999999997,2,1.0,5.696999999999999,2.8484999999999996,15.0,12.0,6.0,Jun,2,1,205,0.0,남,California,13,2,Apparel,IT,None,1,0,1,0.5,0.25,0.5,0.25
USER_0089,31,38,7303.0082,153,653.0492,8.82498918918919,214,5.631578947368421,339.89099999999996,4.593121621621621,7.03,307.33,4.153108108108108,Nov,26,2,168,1.0,여,California,32,8,Apparel,Nest,Stationery,22,9,43,0.2972972972972973,0.007823613086770981,0.581081081081081,0.015291607396870554
USER_0090,123,3,294.823,0,34.007,3.4006999999999996,10,3.3333333333333335,12.334,1.2334,8.0,18.0,1.8,Aug,3,1,123,0.0,여,California,43,3,Apparel,Lifestyle,Nest,4,2,4,0.4,0.13333333333333333,0.4,0.13333333333333333
USER_0091,113,11,1769.4956,0,158.2186,6.879069565217391,35,3.1818181818181817,224.553,9.763173913043477,9.13,66.0,2.869565217391304,Sep,11,1,113,0.0,남,California,4,5,Apparel,Nest,Stationery,7,4,12,0.30434782608695654,0.027667984189723323,0.5217391304347826,0.04743083003952569
USER_0092,21,10,1442.4755,0,118.27250000000001,9.856041666666668,13,1.3,104.727,8.72725,10.0,64.0,5.333333333333333,Dec,10,1,21,0.0,여,California,38,4,Nest,Apparel,Nest,4,1,7,0.3333333333333333,0.03333333333333333,0.5833333333333334,0.058333333333333334
USER_0093,172,3,241.2297,0,20.2497,4.04994,6,2.0,0.0,0.0,0.0,18.0,3.6,Jul,3,1,172,0.0,남,New York,27,4,Stationery,Apparel,Lifestyle,0,0,5,0.0,0.0,1.0,0.3333333333333333
USER_0094,28,88,17133.0966,258,1924.3936,8.629567713004485,504,5.7272727272727275,920.757,4.128955156950672,6.14,709.64,3.1822421524663675,Jul,30,7,77,6.0,남,Chicago,27,15,Apparel,Nest,Lifestyle,64,43,116,0.28699551569506726,0.003261312678353037,0.5201793721973094,0.0059111292295148795
