Recency,Frequency,Monetary,Length,성별,평균구매주기,구매카테고리수,총납세액,총구매수량,총할인금액,총배송료,당월구매횟수,고유거래일수,used개수,not used개수,Used_ratio_per_F,Clicked_ratio_per_F,First_category,Second_category,Third_category,labels
17,6,693.2918,1,남,9,5,60.7668,7,7.334999999999999,38.5,6,2,1,1,0.0238095238095238,0.119047619047619,Nest,Nest,Apparel,7
140,24,3138.6685,18,남,58,8,307.4165,169,130.758,189.48,23,3,14,6,0.0124113475177304,0.0239361702127659,Apparel,Nest,Stationery,1
74,15,1888.1298,114,여,100,7,204.9418,157,108.172,129.61,7,3,11,3,0.0244444444444444,0.0355555555555555,Apparel,Housewares,Nest,3
76,6,2053.1056,0,여,76,5,160.93460000000002,17,170.479,50.48,6,1,8,1,0.1212121212121212,0.0303030303030303,Nest,Nest,Housewares,0
102,9,1002.4268,1,남,52,5,110.3448,101,194.028,61.99,9,2,5,2,0.0427350427350427,0.0512820512820512,Nest,Apparel,Stationery,0
172,8,841.5755,0,남,172,5,86.7935,17,62.87800000000001,91.73,8,1,7,5,0.0546875,0.03125,Apparel,Nest,Stationery,0
170,3,1473.2566000000002,163,여,248,6,167.7306,170,63.31400000000001,42.07,2,2,6,1,0.1538461538461538,0.1538461538461538,Apparel,Lifestyle,Housewares,3
262,10,2584.7207,0,여,262,5,248.6697,133,60.669,156.98,10,1,6,2,0.03,0.06,Apparel,Nest,Apparel,0
40,32,6118.93,323,여,137,7,569.388,57,279.358,228.73,17,5,14,8,0.0099431818181818,0.015625,Nest,Apparel,Nest,1
265,55,16374.5268,91,남,149,10,1614.6858,1494,360.369,1290.23,31,3,47,21,0.0058132343846629,0.0097711811997526,Apparel,Nest,Stationery,5
222,1,39.072,0,여,222,2,4.496,15,2.9440000000000004,6.0,1,1,2,0,0.6666666666666666,0.3333333333333333,Stationery,Lifestyle,None,2
17,14,2734.8885,112,여,80,5,200.0825,26,34.034,101.88,9,3,3,5,0.0119047619047619,0.0396825396825396,Apparel,Nest,Nest,3
277,11,1686.8784,1,여,139,3,180.7324,16,308.154,83.12,11,2,7,2,0.0578512396694214,0.0165289256198347,Nest,Apparel,Apparel,0
103,57,10408.0123,0,남,103,10,1132.2853,799,972.393,526.07,57,1,34,16,0.005905853743269,0.0088587806149035,Apparel,Nest,Stationery,4
13,6,1119.8333,0,남,13,3,105.1253,10,288.672,52.49,6,1,3,0,0.0833333333333333,0.0833333333333333,Nest,Nest,Apparel,0
51,7,1521.0368,0,여,51,6,124.8488,26,35.202,51.61,7,1,3,2,0.0357142857142857,0.0833333333333333,Nest,Nest,Stationery,0
15,70,15132.2081,332,여,61,11,1437.2681,279,780.06,567.16,29,11,40,16,0.0044642857142857,0.0080357142857142,Nest,Apparel,Lifestyle,5
62,67,12439.354,292,여,215,13,1245.378,508,846.504,623.15,37,3,52,18,0.0061596778014688,0.0066334991708126,Nest,Apparel,Stationery,5
60,27,7301.5366,240,여,90,5,642.8336,225,449.377,316.14,12,6,15,7,0.0154320987654321,0.0144032921810699,Nest,Apparel,Nest,1
33,13,3285.7982,194,남,210,8,328.5582,302,299.36,100.99,12,2,10,4,0.0284900284900284,0.037037037037037,Nest,Lifestyle,Stationery,1
26,2,255.7505,0,여,26,2,20.2335,2,30.273,13.0,2,1,1,1,0.25,0.0,Nest,Nest,None,2
147,14,1506.6096,0,남,147,9,158.3536,51,26.174000000000003,84.0,14,1,15,4,0.0255102040816326,0.0391156462585034,Apparel,Nest,Housewares,0
151,13,9638.7938,113,여,94,8,807.1628000000001,757,1424.789,187.87,6,4,13,7,0.0217391304347826,0.0434782608695652,Apparel,Nest,Housewares,1
166,6,1115.0878,0,여,166,5,105.3068,27,13.599,30.0,6,1,2,2,0.0238095238095238,0.119047619047619,Apparel,Nest,Lifestyle,7
149,35,5893.7093,0,남,149,12,633.3312999999999,434,396.232,321.47,35,1,38,17,0.0110787172011661,0.012536443148688,Apparel,Nest,Stationery,4
150,6,915.6778,0,남,150,7,103.4438,48,5.436,36.0,6,1,6,1,0.0666666666666666,0.0888888888888888,Apparel,Stationery,Apparel,7
123,22,2987.7554,0,여,123,10,290.0974,61,194.002,174.47,22,1,15,6,0.0158562367864693,0.0232558139534883,Apparel,Nest,Lifestyle,4
164,5,476.8611,99,여,90,5,44.4011,9,12.45,30.0,2,4,4,2,0.1142857142857142,0.0285714285714285,Nest,Apparel,Stationery,6
140,3,91.2668,0,여,140,1,11.8368,5,4.33,18.0,3,1,3,1,0.1999999999999999,0.0666666666666666,Apparel,None,None,2
41,71,11065.4501,110,남,87,11,1197.7461,606,664.236,510.71,67,3,44,22,0.0038732394366197,0.0082746478873239,Apparel,Nest,Lifestyle,5
15,21,5111.4411,0,여,15,5,442.9641,117,626.973,176.64,21,1,14,7,0.021505376344086,0.0153609831029185,Nest,Nest,Stationery,4
157,1,17.161500000000004,0,여,157,1,0.5315000000000001,1,0.0,6.0,1,1,0,0,0.0,1.0,Apparel,None,None,2
104,12,1412.1675,0,여,104,8,147.7365,216,223.599,94.48,12,1,9,1,0.0258620689655172,0.0545977011494252,Apparel,Stationery,Housewares,0
171,4,1501.1182,0,여,171,3,215.6892,95,9.711,24.0,4,1,3,2,0.046875,0.171875,Apparel,Nest,Apparel,7
131,3,494.6402000000001,0,여,131,5,38.2062,28,97.556,56.22,3,1,5,2,0.2380952380952381,0.0,Stationery,Stationery,Housewares,7
139,5,574.7470000000001,1,여,70,5,67.775,23,70.778,30.0,5,2,10,1,0.125,0.0625,Apparel,Nest,Stationery,7
107,6,1858.6462,0,여,107,4,290.1762,424,105.0,36.5,6,1,1,1,0.0166666666666666,0.1333333333333333,Lifestyle,Apparel,Apparel,0
34,22,4634.7214,0,여,34,6,411.2914,96,441.93,154.97,22,1,12,6,0.0175953079178885,0.0190615835777126,Nest,Stationery,Nest,4
151,8,1460.0784,0,남,151,7,148.6384,86,8.64,86.39999999999999,8,1,1,3,0.0096153846153846,0.0865384615384615,Stationery,Nest,Stationery,0
53,100,20305.4146,88,남,57,11,1720.2166,486,1195.152,756.35,59,4,54,26,0.0028877005347593,0.0057219251336898,Nest,Apparel,Stationery,5
21,32,4604.024,212,여,111,9,478.182,310,232.278,237.94,13,4,18,10,0.0087890625,0.017578125,Apparel,Stationery,Nest,1
188,9,1710.2468,0,남,188,4,177.0068,17,232.2,85.17999999999999,9,1,3,2,0.0333333333333333,0.0555555555555555,Nest,Apparel,Lifestyle,0
69,14,1739.2327,54,여,59,11,136.8667,91,39.004000000000005,162.67000000000002,13,3,10,6,0.0183150183150183,0.0421245421245421,Apparel,Stationery,Lifestyle,3
136,4,317.5596,196,남,176,1,49.9716,10,35.032,25.0,2,3,5,1,0.1388888888888889,0.0833333333333333,Apparel,None,None,6
20,11,3012.3410000000003,60,여,70,5,274.515,136,122.384,73.98,9,2,8,2,0.0330578512396694,0.0495867768595041,Nest,Lifestyle,Nest,3
10,71,13247.2562,310,여,210,10,1274.7872,519,888.1809999999999,625.38,36,3,49,20,0.0047269920895234,0.0074281304263939,Apparel,Nest,Housewares,5
45,5,1585.9930000000002,0,여,45,7,179.693,190,251.37,57.72,5,1,7,0,0.1272727272727272,0.0727272727272727,Apparel,Stationery,Apparel,0
202,33,6542.3278,0,여,202,7,730.7408,976,409.953,289.34,33,1,21,8,0.0094979647218453,0.0171867933061962,Apparel,Nest,Stationery,4
56,40,5961.8512,108,여,68,9,565.6012000000001,116,542.73,261.48,35,4,30,11,0.0098684210526315,0.0115131578947368,Apparel,Nest,Stationery,1
151,15,2773.7536,213,남,288,9,310.4376,155,93.864,195.7,10,2,12,5,0.019047619047619,0.0396825396825396,Apparel,Nest,Stationery,3
160,26,4335.4598,10,여,90,11,446.3598,212,116.98,196.56,26,2,23,13,0.0119542619542619,0.0197505197505197,Apparel,Nest,Stationery,4
302,1,28.9082,0,남,302,1,3.4182,1,0.0,6.5,1,1,0,1,0.0,0.0,Apparel,None,None,2
59,21,4851.3150000000005,0,여,59,6,361.985,158,150.17,198.87,21,1,8,3,0.0146520146520146,0.0274725274725274,Nest,Nest,Stationery,4
92,5,780.2216999999999,0,여,92,5,79.1317,131,177.99,30.0,5,1,3,2,0.05,0.1166666666666666,Lifestyle,Apparel,Stationery,0
15,8,848.0212,315,남,161,4,86.1302,16,78.479,56.99,4,4,9,1,0.075,0.0416666666666666,Apparel,Nest,Nest,6
136,4,582.6274000000001,0,여,136,5,51.7094,9,68.11200000000001,26.7,4,1,5,1,0.1388888888888889,0.0833333333333333,Housewares,Apparel,Nest,7
256,2,324.7242,0,여,256,2,29.5342,3,0.0,12.0,2,1,0,1,0.0,0.3333333333333333,Nest,Apparel,None,2
65,4,376.753,0,여,65,3,34.853,19,21.450000000000003,24.0,4,1,3,5,0.046875,0.125,Apparel,Stationery,Nest,7
187,20,2758.9300000000003,76,남,113,7,330.094,117,185.274,179.9,12,3,12,2,0.0181818181818181,0.0287878787878787,Apparel,Nest,Stationery,3
15,24,6403.34,63,남,47,7,561.524,186,218.294,173.23,21,3,23,10,0.0165229885057471,0.0179597701149425,Nest,Apparel,Stationery,1
27,34,5547.288,88,여,40,10,593.801,582,421.113,274.35,22,5,20,10,0.0087796312554872,0.0162423178226514,Apparel,Nest,Stationery,1
56,26,4677.7373,40,여,68,10,412.5893,125,304.632,190.97,24,2,26,13,0.0133333333333333,0.0184615384615384,Apparel,Nest,Housewares,1
135,1,68.9322,0,남,135,1,10.9422,2,8.8,6.0,1,1,1,0,0.5,0.5,Apparel,None,None,2
51,8,2551.7349,0,여,51,7,223.94090000000003,77,167.106,54.48,8,1,9,2,0.0703125,0.0390625,Nest,Nest,Stationery,0
188,28,4299.0012,121,남,107,10,418.0542,216,197.153,195.17,17,4,16,12,0.0107816711590296,0.0168463611859838,Nest,Stationery,Apparel,1
257,1,22.0622,0,남,257,2,2.4612,2,1.279,6.5,1,1,1,0,0.5,0.5,Stationery,Apparel,None,2
144,7,2540.8344,0,남,144,5,285.73040000000003,255,222.366,42.0,7,1,4,1,0.0634920634920634,0.0634920634920634,Apparel,Stationery,Nest,0
87,26,3046.329,42,남,57,10,313.975,169,207.286,208.38,24,3,18,7,0.0135746606334841,0.0196078431372549,Apparel,Nest,Housewares,1
12,16,3294.1285,344,남,350,8,321.8475,148,170.419,173.0,8,2,16,4,0.0294117647058823,0.025735294117647,Apparel,Nest,Stationery,1
90,5,801.0382,0,남,90,3,54.8482,5,49.8,30.0,5,1,2,0,0.08,0.12,Nest,Nest,Apparel,7
103,2,107.194,28,여,79,2,14.124,17,8.639999999999999,18.91,1,2,1,1,0.125,0.25,Apparel,Stationery,None,6
205,2,51.1194,0,남,205,2,6.836399999999999,2,5.696999999999999,12.0,2,1,1,0,0.25,0.25,Apparel,IT,None,2
31,38,7303.0082,153,여,168,8,653.0492,214,339.891,307.33,26,2,22,9,0.0078236130867709,0.0152916073968705,Apparel,Nest,Stationery,1
123,3,294.823,0,여,123,3,34.007,10,12.334,18.0,3,1,4,2,0.1333333333333333,0.1333333333333333,Apparel,Lifestyle,Nest,7
113,11,1769.4956,0,남,113,5,158.2186,35,224.553,66.0,11,1,7,4,0.0276679841897233,0.0474308300395256,Apparel,Nest,Stationery,0
21,10,1442.4755,0,여,21,4,118.2725,13,104.727,64.0,10,1,4,1,0.0333333333333333,0.0583333333333333,Nest,Apparel,Nest,0
172,3,241.2297,0,남,172,4,20.2497,6,0.0,18.0,3,1,0,0,0.0,0.3333333333333333,Stationery,Apparel,Lifestyle,2
28,88,17133.0966,258,남,77,15,1924.3936,504,920.757,709.64,30,7,64,43,0.003261312678353,0.0059111292295148,Apparel,Nest,Lifestyle,5
20,68,13071.1771,309,여,106,10,1241.5481,230,923.941,567.06,24,6,35,20,0.0040528022232515,0.0083371931449745,Apparel,Nest,Stationery,5
92,38,11245.8551,171,남,86,9,1431.9010999999998,744,510.526,448.28,29,5,25,11,0.0085440874914559,0.0140123034859876,Apparel,Nest,Stationery,5
334,6,1093.6604,0,남,334,3,108.6644,9,24.554,50.97,6,1,1,2,0.0238095238095238,0.0952380952380952,Nest,Apparel,Apparel,7
65,8,1491.4884,121,여,76,3,140.70440000000002,19,24.746,54.91,5,4,8,2,0.0666666666666666,0.0416666666666666,Apparel,Nest,Stationery,6
78,4,1785.7574000000002,0,여,78,4,127.2074,17,74.4,24.0,4,1,2,0,0.0555555555555555,0.1944444444444444,Stationery,Nest,Nest,7
186,13,1811.4063,0,여,186,6,188.3093,36,99.783,78.5,13,1,9,7,0.023076923076923,0.0358974358974358,Apparel,Nest,Lifestyle,0
123,21,3147.7824,179,여,160,7,294.2294,170,114.617,161.19,12,3,9,6,0.0129870129870129,0.0259740259740259,Nest,Apparel,Stationery,3
53,16,3194.9438,226,남,126,9,316.4318,200,277.438,125.72,5,4,16,5,0.0303030303030303,0.0227272727272727,Apparel,Nest,Stationery,1
10,27,4183.7238,318,남,92,8,375.5608,65,187.777,252.84,13,7,16,7,0.0126083530338849,0.0189125295508274,Apparel,Nest,Lifestyle,1
34,26,7028.2496,271,여,192,11,628.9216,225,631.352,220.61,10,3,26,9,0.0153846153846153,0.0177514792899408,Nest,Stationery,Apparel,1
178,10,2163.1073,85,여,174,7,232.0633,144,100.036,86.33,8,2,9,0,0.05,0.05,Apparel,Nest,Stationery,3
132,7,551.316,0,남,132,4,56.988,13,76.712,42.0,7,1,6,0,0.0779220779220779,0.0649350649350649,Apparel,Lifestyle,Nest,7
325,14,4860.9125,1,여,163,8,584.3505,795,662.028,125.8,14,2,8,4,0.0238095238095238,0.0357142857142857,Nest,Stationery,Housewares,4
44,16,1964.5716,143,남,165,9,208.2116,42,261.97,105.69,10,2,10,5,0.025,0.025,Nest,Apparel,Apparel,3
81,8,991.4772,0,남,81,6,71.46220000000001,15,47.705,49.99,8,1,6,2,0.0625,0.0416666666666666,Apparel,Lifestyle,Nest,7
134,7,608.8756,0,여,134,5,64.89359999999999,87,57.518,55.98,7,1,4,0,0.0439560439560439,0.0989010989010989,Apparel,Nest,Lifestyle,7
34,38,13126.2232,217,여,234,7,1080.9492,1121,724.1560000000001,499.63,30,2,16,5,0.0067911714770797,0.0174023769100169,Nest,Nest,Apparel,5
171,2,103.9838,0,여,171,2,14.231799999999998,5,2.198,12.0,2,1,2,0,0.25,0.25,Apparel,Stationery,None,2
41,18,3127.4839,114,남,134,8,326.9399,65,218.986,128.96,9,2,13,6,0.0167958656330749,0.0310077519379844,Apparel,Nest,Stationery,3
137,1,156.693,0,여,137,2,25.533,25,16.69,6.0,1,1,2,0,0.5,0.5,Apparel,Housewares,None,2
335,8,1910.6258,0,남,335,2,181.1578,17,101.102,52.0,8,1,5,0,0.0568181818181818,0.0681818181818181,Nest,Apparel,None,7
68,34,10560.4742,1,남,35,8,961.8002,366,275.516,510.64,34,2,17,5,0.0089285714285714,0.0178571428571428,Nest,Stationery,Nest,4
94,10,1868.3987,211,여,172,8,205.2407,211,127.232,60.5,5,3,7,3,0.0349999999999999,0.05,Apparel,Lifestyle,Housewares,3
107,328,82903.8609,250,여,17,17,9043.9499,4869,4456.769,3715.32,107,34,252,115,0.0011054570977364,0.0014388489208633,Apparel,Nest,Stationery,5
152,20,2229.7566,88,여,164,6,266.4486,136,162.212,146.05,18,2,19,9,0.0182692307692307,0.023076923076923,Apparel,Stationery,Nest,3
10,17,3891.038,0,여,10,8,352.029,66,351.321,168.42999999999998,17,1,10,5,0.0158982511923688,0.0349761526232114,Nest,Apparel,Nest,4
263,1,60.4784,0,여,263,1,8.9964,2,4.998,6.5,1,1,1,0,1.0,0.0,Apparel,None,None,2
304,8,1059.007,1,여,153,4,113.841,39,187.524,52.0,8,2,7,2,0.0546875,0.0546875,Nest,Stationery,Apparel,0
55,28,5704.3868,0,여,55,8,507.3408,217,452.994,202.16,28,1,15,8,0.0119047619047619,0.0174603174603174,Nest,Nest,Apparel,4
142,28,4691.8818,128,여,132,11,530.7138,158,150.222,196.99,21,3,30,17,0.0121753246753246,0.0166396103896103,Apparel,Nest,Stationery,1
13,7,1396.0834,10,남,16,5,108.2604,29,158.337,45.0,7,2,6,3,0.0659340659340659,0.0439560439560439,Apparel,Nest,Nest,3
30,3,600.1692,0,여,30,3,57.3262,10,11.727,24.98,3,1,3,4,0.1111111111111111,0.074074074074074,Apparel,Nest,Lifestyle,7
7,15,2428.1908,323,여,217,7,272.9668,98,302.206,101.96,8,3,16,4,0.0253968253968253,0.0349206349206349,Apparel,Lifestyle,Nest,3
64,32,4519.2183,124,여,78,8,399.7253,172,174.177,248.46,17,4,16,11,0.0089285714285714,0.0161830357142857,Apparel,Nest,Stationery,1
245,8,833.0019000000001,0,여,245,4,87.6899,17,26.898000000000003,72.0,8,1,3,3,0.0267857142857142,0.0714285714285714,Apparel,Nest,Stationery,7
362,2,156.4554,0,여,362,2,15.4324,2,12.277,13.0,2,1,1,0,0.25,0.25,Apparel,Nest,None,2
144,11,2434.5025,182,여,254,8,274.0485,61,251.486,95.97,7,2,12,6,0.0454545454545454,0.0227272727272727,Apparel,Nest,Stationery,3
212,7,420.0166,51,남,157,5,50.9556,18,29.779,43.5,5,2,8,1,0.0672268907563025,0.0672268907563025,Apparel,Stationery,Housewares,6
302,5,589.1404,0,남,302,4,68.5054,105,69.85499999999999,32.5,5,1,2,1,0.0571428571428571,0.1142857142857142,Nest,Apparel,Stationery,7
111,5,665.3922,0,남,111,6,69.6262,107,88.734,51.48,5,1,3,2,0.0545454545454545,0.109090909090909,Lifestyle,Stationery,Nest,0
53,31,8125.0432,203,남,153,7,574.2892,313,373.706,224.58,18,3,14,9,0.0092165898617511,0.0171165240289664,Stationery,Nest,Nest,1
89,6,1119.068,124,남,112,5,109.682,18,49.874,36.0,3,3,5,2,0.0694444444444444,0.0694444444444444,Nest,Stationery,Lifestyle,6
25,19,3098.8126,1,남,13,8,277.2216,227,280.629,217.67,19,2,17,7,0.0229419703103913,0.020242914979757,Stationery,Apparel,Nest,4
360,28,5209.6126,0,여,360,13,445.1076,483,115.345,556.36,28,1,20,11,0.0121065375302663,0.0169491525423728,Housewares,Nest,Apparel,4
185,23,3991.4231,96,여,125,8,402.6151,107,255.792,242.31,12,3,12,4,0.0141010575793184,0.0246768507638072,Apparel,Nest,Stationery,1
34,49,12799.4113,299,여,126,10,1226.6963,376,864.095,724.88,20,5,37,11,0.0068645640074211,0.0115027829313543,Apparel,Stationery,Nest,5
8,9,2546.6955,0,여,8,3,232.8635,18,550.428,78.47,9,1,8,3,0.0634920634920634,0.0238095238095238,Nest,Nest,Lifestyle,0
28,12,2056.0549,16,남,30,7,165.24990000000005,43,219.435,94.48,9,2,12,2,0.0434782608695652,0.0326086956521739,Stationery,Apparel,Nest,3
68,23,4988.3692,3,남,37,5,366.8132,46,107.184,138.0,23,2,12,5,0.0144927536231884,0.0229468599033816,Nest,Apparel,Nest,0
348,3,958.938,0,여,348,1,89.03300000000002,7,39.925,19.5,3,1,2,0,0.2222222222222222,0.1111111111111111,Nest,None,None,7
209,1,267.8,0,남,209,1,23.8,2,0.0,6.0,1,1,0,0,0.0,1.0,Nest,None,None,2
212,24,3735.3622,1,남,107,7,431.9002,307,324.138,193.79,24,2,16,10,0.0114942528735632,0.0229885057471264,Apparel,Stationery,Nest,4
49,19,5858.0811,307,여,221,8,499.7861,101,278.345,217.0,10,3,16,2,0.0183066361556064,0.0320366132723112,Apparel,Nest,Housewares,1
269,1,52.243,0,여,269,1,6.147,2,2.4640000000000004,14.41,1,1,1,0,0.5,0.5,Apparel,None,None,2
115,31,4335.5354,142,남,199,10,421.3474,290,298.062,417.78,22,2,27,9,0.0131964809384164,0.0146627565982404,Apparel,Nest,Stationery,1
239,1,7.32,0,여,239,1,0.12,1,0.0,6.0,1,1,0,1,0.0,0.0,Stationery,None,None,2
122,11,1381.1471,77,여,138,5,158.9991,19,219.922,86.98,9,2,10,2,0.053475935828877,0.0267379679144385,Nest,Apparel,Stationery,3
32,1,257.3,0,남,32,1,22.8,2,0.0,6.5,1,1,0,1,0.0,0.5,Nest,None,None,2
288,2,87.8214,0,여,288,3,12.058399999999995,4,5.996999999999999,13.0,2,1,1,1,0.125,0.25,Stationery,Housewares,Apparel,2
343,7,1261.5936000000002,0,여,343,5,125.4716,37,33.278000000000006,45.5,7,1,4,2,0.0439560439560439,0.0769230769230769,Nest,Housewares,Housewares,7
86,19,4310.1304,1,여,44,8,396.8184,178,151.738,148.47,19,2,15,7,0.0197368421052631,0.0236842105263157,Stationery,Nest,Nest,4
164,30,6532.3168000000005,189,남,180,9,661.5248,394,308.758,215.56,13,3,21,11,0.011864406779661,0.0152542372881355,Nest,Apparel,Stationery,1
117,1,23.0543,0,남,117,2,1.2043,3,0.0,6.5,1,1,0,0,0.0,1.0,Lifestyle,Stationery,None,2
203,8,351.2716,0,여,203,7,47.3506,21,41.379,48.0,8,1,9,1,0.0661764705882353,0.0514705882352941,Apparel,Housewares,Apparel,7
25,5,977.0406,0,여,25,3,90.9166,13,30.756,38.49,5,1,3,2,0.075,0.075,Nest,Apparel,Lifestyle,7
185,2,33.9602,4,여,96,2,3.2972,2,0.717,12.0,2,2,1,0,0.25,0.25,Apparel,Stationery,None,2
76,2,1297.2368,0,여,76,7,148.27679999999998,49,24.630000000000003,336.99,2,1,8,5,0.1481481481481481,0.2592592592592592,Apparel,Housewares,Lifestyle,0
145,2,221.8697,0,여,145,3,26.8097,18,18.03,20.85,2,1,2,0,0.1666666666666666,0.3333333333333333,Apparel,Stationery,Housewares,7
264,7,830.5785000000001,0,여,264,5,85.3135,36,24.895,61.71,7,1,8,1,0.0714285714285714,0.0625,Apparel,Lifestyle,Nest,7
178,7,1189.1666,1,여,90,5,114.1666,42,5.75,62.98,7,2,4,3,0.0408163265306122,0.0714285714285714,Nest,Lifestyle,Housewares,7
65,25,5412.2756,286,남,127,6,498.0666000000001,54,164.311,163.49,13,5,11,6,0.0122222222222222,0.0211111111111111,Nest,Apparel,Stationery,1
80,6,963.9556,47,여,87,5,84.8706,28,40.465,36.0,4,2,9,1,0.075,0.0833333333333333,Apparel,Nest,Lifestyle,6
0,14,3264.4215,0,여,0,5,270.3455,35,111.924,103.99,14,1,5,3,0.018796992481203,0.0413533834586466,Nest,Nest,Stationery,0
152,13,1113.4582,15,여,91,7,114.6502,70,25.282,132.46,12,2,8,7,0.0198511166253101,0.0397022332506203,Apparel,Housewares,Nest,3
264,6,814.4811,1,남,133,5,83.7311,49,2.65,140.49,6,2,2,2,0.0208333333333333,0.125,Apparel,Housewares,Stationery,7
191,10,1693.0236,143,여,159,4,165.0106,23,13.027,88.96,6,3,5,3,0.0263157894736842,0.0578947368421052,Apparel,Nest,Housewares,6
88,2,562.882,0,여,88,4,67.082,52,26.6,12.0,2,1,3,1,0.1875,0.25,Apparel,Housewares,Nest,7
12,31,4476.8322,324,여,44,11,417.0252,150,187.803,284.22,8,15,14,5,0.0096087851750171,0.0192175703500343,Nest,Stationery,Apparel,1
130,4,1327.2211,70,남,90,4,98.7611,144,37.65,102.89,2,3,2,2,0.0833333333333333,0.0833333333333333,Stationery,Stationery,Lifestyle,3
117,2,191.858,129,여,187,2,16.268,2,0.0,18.99,1,2,0,1,0.0,0.25,Nest,Apparel,None,6
17,2,490.6555000000001,0,여,17,1,27.827500000000004,4,106.722,13.0,2,1,1,0,0.1666666666666666,0.3333333333333333,Nest,None,None,7
40,7,884.7046,18,여,38,6,97.8006,89,63.996,56.39,7,2,7,2,0.0555555555555555,0.0714285714285714,Stationery,Housewares,Nest,3
251,8,986.4923,0,남,251,6,95.3713,12,24.199,68.98,8,1,2,1,0.0227272727272727,0.0909090909090909,Nest,Apparel,Stationery,7
65,23,2677.4842,46,여,78,10,297.2222,137,350.97799999999995,165.89,21,2,16,5,0.0193236714975845,0.0181159420289855,Apparel,Nest,Housewares,1
65,5,964.101,0,여,65,3,84.561,9,0.34,36.99,5,1,1,0,0.0285714285714285,0.1714285714285714,Nest,Stationery,Apparel,7
51,37,6012.034000000001,139,여,109,9,559.311,234,436.957,301.18,15,3,26,10,0.0097597597597597,0.0135135135135135,Apparel,Nest,Stationery,1
94,8,2322.272,129,여,176,5,213.019,42,42.297,48.0,7,2,2,4,0.0166666666666666,0.075,Nest,Apparel,Nest,3
335,3,249.9698,0,여,335,3,38.2408,17,21.131,19.5,3,1,2,0,0.2222222222222222,0.1111111111111111,Stationery,Housewares,Apparel,7
331,28,5168.1652,0,남,331,8,559.0572,158,303.21200000000005,344.99,28,1,18,14,0.009594882729211,0.0186567164179104,Apparel,Nest,Stationery,4
201,6,1934.3762,56,남,156,3,288.4482,82,181.242,52.68,5,2,3,1,0.0625,0.0833333333333333,Apparel,Nest,Nest,3
177,4,281.277,0,여,177,4,23.875,16,2.558,92.21,4,1,1,0,0.0416666666666666,0.2083333333333333,Apparel,Lifestyle,Apparel,7
172,1,16.4895,0,여,172,1,0.4995,1,0.0,6.0,1,1,0,0,0.0,1.0,Apparel,None,None,2
